species;year;table_name
Total Camels of all ages;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2003;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels 4 years and older;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels 4 years and older;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels 4 years and older;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for slaughter;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for slaughter;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for slaughter;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for draft purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for draft purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for draft purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for milk;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for transportation;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for transportation;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for transportation;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels for other purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels for other purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels for other purposes;2004;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels of all ages;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels of all ages;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels of all ages;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Camels less than 4 years;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Camels less than 4 years;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Camels less than 4 years;2005;Number of Horses, Mules, Donkeys and Camels by age and Purpose
